Code,Borough,Year,Crime rate,,,,,,,,,,
E09000395,Lewisham,2014,75.7,,,,,,,,,,
E09000143,Ealing,2014,75.8,,,,,,,,,,
E09000030,Barnet,2009,76.0,,,,,,,,,,
E09000045,Bexley,2006,76.1,,,,,,,,,,
E09000126,Croydon,2015,76.4,,,,,,,,,,
E09000125,Croydon,2014,76.6,,,,,,,,,,
E09000157,Enfield,2010,76.9,,,,,,,,,,
E09000070,Brent,2013,77.1,,,,,,,,,,
E09000433,Newham,2016,77.1,,,,,,,,,,
E09000489,Sutton,2000,77.2,,,,,,,,,,
E09000407,Merton,2008,77.3,,,,,,,,,,
E09000406,Merton,2007,77.3,,,,,,,,,,
E09000084,Bromley,2009,77.5,,,,,,,,,,
E09000539,Waltham Forest,2014,77.5,,,,,,,,,,
E09000263,Havering,2008,77.7,,,,,,,,,,
E09000029,Barnet,2008,77.8,,,,,,,,,,
E09000394,Lewisham,2013,78.0,,,,,,,,,,
E09000179,Greenwich,2014,78.2,,,,,,,,,,
E09000071,Brent,2014,78.3,,,,,,,,,,
E09000305,Hounslow,2014,78.4,,,,,,,,,,
E09000447,Redbridge,2012,78.8,,,,,,,,,,
E09000144,Ealing,2015,78.8,,,,,,,,,,
E09000242,Harrow,2005,79.1,,,,,,,,,,
E09000554,Wandsworth,2011,79.3,,,,,,,,,,
E09000352,Kingston upon Thames,2007,79.5,,,,,,,,,,
E09000028,Barnet,2007,79.6,,,,,,,,,,
E09000180,Greenwich,2015,79.9,,,,,,,,,,
E09000540,Waltham Forest,2015,80.4,,,,,,,,,,
E09000072,Brent,2015,80.6,,,,,,,,,,
E09000236,Harrow,1999,80.7,,,,,,,,,,
E09000488,Sutton,1999,80.8,,,,,,,,,,
E09000156,Enfield,2009,81.0,,,,,,,,,,
E09000177,Greenwich,2012,81.2,,,,,,,,,,
E09000237,Harrow,2000,81.4,,,,,,,,,,
E09000306,Hounslow,2015,81.6,,,,,,,,,,
E09000553,Wandsworth,2010,81.7,,,,,,,,,,
E09000017,Barking and Dagenham,2014,81.9,,,,,,,,,,
E09000458,Richmond upon Thames,2005,82.0,,,,,,,,,,
E09000155,Enfield,2008,82.5,,,,,,,,,,
E09000555,Wandsworth,2012,82.5,,,,,,,,,,
E09000491,Sutton,2002,82.7,,,,,,,,,,
E09000016,Barking and Dagenham,2013,82.9,,,,,,,,,,
E09000396,Lewisham,2015,83.1,,,,,,,,,,
E09000538,Waltham Forest,2013,83.1,,,,,,,,,,
E09000254,Havering,1999,83.2,,,,,,,,,,
E09000082,Bromley,2007,83.3,,,,,,,,,,
E09000405,Merton,2006,83.5,,,,,,,,,,
E09000241,Harrow,2004,83.7,,,,,,,,,,
E09000232,Haringey,2013,83.8,,,,,,,,,,
E09000495,Sutton,2006,84.3,,,,,,,,,,
E09000123,Croydon,2012,84.3,,,,,,,,,,
E09000490,Sutton,2001,84.6,,,,,,,,,,
E09000453,Richmond upon Thames,2000,84.9,,,,,,,,,,
E09000552,Wandsworth,2009,85.1,,,,,,,,,,
E09000551,Wandsworth,2008,85.2,,,,,,,,,,
