Code,Borough,Year,Crime rate,,,,,,,,,,
E09000476,Southwark,2005,158.3,,,,,,,,,,
E09000420,Newham,2003,158.5,,,,,,,,,,
E09000102,Camden,2009,158.6,,,,,,,,,,
E09000103,Camden,2010,159.3,,,,,,,,,,
E09000416,Newham,1999,159.4,,,,,,,,,,
E09000188,Hackney,2005,159.9,,,,,,,,,,
E09000471,Southwark,2000,160.0,,,,,,,,,,
E09000316,Islington,2007,160.2,,,,,,,,,,
E09000419,Newham,2002,161.2,,,,,,,,,,
E09000331,Kensington and Chelsea,2004,161.8,,,,,,,,,,
E09000101,Camden,2008,162.5,,,,,,,,,,
E09000104,Camden,2011,162.7,,,,,,,,,,
E09000418,Newham,2001,162.8,,,,,,,,,,
E09000222,Haringey,2003,163.6,,,,,,,,,,
E09000367,Lambeth,2004,166.9,,,,,,,,,,
E09000204,Hammersmith and Fulham,2003,167.0,,,,,,,,,,
E09000100,Camden,2007,167.4,,,,,,,,,,
E09000475,Southwark,2004,170.1,,,,,,,,,,
E09000220,Haringey,2001,170.2,,,,,,,,,,
E09000187,Hackney,2004,170.9,,,,,,,,,,
E09000577,Westminster,2016,171.3,,,,,,,,,,
E09000201,Hammersmith and Fulham,2000,171.8,,,,,,,,,,
E09000511,Tower Hamlets,2004,172.0,,,,,,,,,,
E09000221,Haringey,2002,173.8,,,,,,,,,,
E09000202,Hammersmith and Fulham,2001,174.1,,,,,,,,,,
E09000203,Hammersmith and Fulham,2002,174.4,,,,,,,,,,
E09000506,Tower Hamlets,1999,176.1,,,,,,,,,,
E09000470,Richmond upon Thames,1999,176.5,,,,,,,,,,
E09000507,Tower Hamlets,2000,177.9,,,,,,,,,,
E09000200,Hammersmith and Fulham,1999,178.0,,,,,,,,,,
E09000472,Southwark,2001,178.0,,,,,,,,,,
E09000473,Southwark,2002,179.3,,,,,,,,,,
E09000330,Kensington and Chelsea,2003,180.8,,,,,,,,,,
E09000474,Southwark,2003,181.3,,,,,,,,,,
E09000328,Kensington and Chelsea,2001,182.5,,,,,,,,,,
E09000366,Lambeth,2003,183.5,,,,,,,,,,
E09000186,Hackney,2003,183.8,,,,,,,,,,
E09000508,Tower Hamlets,2001,185.4,,,,,,,,,,
E09000185,Hackney,2002,186.1,,,,,,,,,,
E09000510,Tower Hamlets,2003,187.8,,,,,,,,,,
E09000183,Hackney,2000,188.0,,,,,,,,,,
E09000363,Lambeth,2000,188.7,,,,,,,,,,
E09000315,Islington,2006,190.2,,,,,,,,,,
E09000184,Hackney,2001,191.9,,,,,,,,,,
E09000329,Kensington and Chelsea,2002,194.8,,,,,,,,,,
E09000362,Lambeth,1999,195.7,,,,,,,,,,
E09000182,Hackney,1999,195.9,,,,,,,,,,
E09000365,Lambeth,2002,198.5,,,,,,,,,,
E09000327,Kensington and Chelsea,2000,198.6,,,,,,,,,,
E09000509,Tower Hamlets,2002,198.6,,,,,,,,,,
E09000098,Camden,2005,200.1,,,,,,,,,,
E09000099,Camden,2006,201.1,,,,,,,,,,
E09000314,Islington,2005,201.9,,,,,,,,,,
E09000309,Islington,2000,202.2,,,,,,,,,,
E09000576,Westminster,2015,203.1,,,,,,,,,,
E09000575,Westminster,2014,206.9,,,,,,,,,,
E09000326,Kensington and Chelsea,1999,208.4,,,,,,,,,,
E09000364,Lambeth,2001,208.8,,,,,,,,,,
E09000310,Islington,2001,209.7,,,,,,,,,,
E09000313,Islington,2004,209.9,,,,,,,,,,
E09000308,Islington,1999,218.7,,,,,,,,,,
E09000311,Islington,2002,218.9,,,,,,,,,,
E09000097,Camden,2004,219.1,,,,,,,,,,
E09000312,Islington,2003,225.6,,,,,,,,,,
E09000574,Westminster,2013,238.3,,,,,,,,,,
E09000093,Camden,2000,238.5,,,,,,,,,,
E09000092,Camden,1999,241.0,,,,,,,,,,
E09000096,Camden,2003,249.8,,,,,,,,,,
E09000094,Camden,2001,262.2,,,,,,,,,,
E09000095,Camden,2002,264.2,,,,,,,,,,
E09000573,Westminster,2012,277.0,,,,,,,,,,
E09000569,Westminster,2008,289.6,,,,,,,,,,
E09000568,Westminster,2007,289.8,,,,,,,,,,
E09000571,Westminster,2010,294.7,,,,,,,,,,
E09000570,Westminster,2009,295.1,,,,,,,,,,
E09000567,Westminster,2006,297.4,,,,,,,,,,
E09000572,Westminster,2011,302.0,,,,,,,,,,
E09000566,Westminster,2005,320.8,,,,,,,,,,
E09000565,Westminster,2004,369.8,,,,,,,,,,
E09000564,Westminster,2003,375.8,,,,,,,,,,
E09000563,Westminster,2002,414.0,,,,,,,,,,
E09000562,Westminster,2001,424.3,,,,,,,,,,
E09000561,Westminster,2000,424.4,,,,,,,,,,
E09000560,Westminster,1999,463.0,,,,,,,,,,
